Plot,pice,Easting,Northing,long,lat
D125,50.80000000000,578535,3391024,-104.18000000000,30.64930000000
D266,52.30000000000,588141,3401214,-104.07900000000,30.74060000000
D61,52.90000000000,585149,3395231,-104.11100000000,30.68680000000
D87,53.40000000000,579754,3392821,-104.16700000000,30.66540000000
D249,53.50000000000,584537,3400024,-104.11700000000,30.73010000000
D188,53.70000000000,585141,3392223,-104.11100000000,30.65970000000
D73,54.10000000000,580344,3389816,-104.16200000000,30.63830000000
D103,55.10000000000,582739,3397019,-104.13600000000,30.70310000000
D217,55.10000000000,585739,3396419,-104.10500000000,30.69750000000
D183,55.30000000000,585737,3392820,-104.10500000000,30.66500000000
D164,55.50000000000,586333,3394616,-104.09900000000,30.68120000000
D105,55.60000000000,583941,3397017,-104.12300000000,30.70300000000
D133,57.00000000000,581546,3390421,-104.14900000000,30.64370000000
D39,58.40000000000,582144,3394032,-104.14200000000,30.67620000000
D127,58.70000000000,577939,3390423,-104.18700000000,30.64390000000
D115,58.80000000000,580341,3394016,-104.16100000000,30.67620000000
D12,59.60000000000,580970,3391618,-104.15500000000,30.65450000000
D80,60.50000000000,582140,3396421,-104.14200000000,30.69780000000
D112,60.60000000000,580341,3395826,-104.16100000000,30.69250000000
D120,61.00000000000,577940,3392226,-104.18600000000,30.66020000000
D157,61.70000000000,584542,3392225,-104.11800000000,30.65970000000
D40,61.90000000000,582749,3394633,-104.13600000000,30.68160000000
D235,62.80000000000,586945,3398228,-104.09200000000,30.71370000000
D29,63.40000000000,582147,3392222,-104.14300000000,30.65990000000
D48,63.60000000000,582735,3395828,-104.13600000000,30.69240000000
D84,63.80000000000,580342,3392821,-104.16100000000,30.66540000000
D11,64.10000000000,581551,3391010,-104.14900000000,30.64900000000
D75,65.00000000000,581542,3389219,-104.14900000000,30.63280000000
D179,65.20000000000,586940,3393421,-104.09200000000,30.67040000000
D31,66.80000000000,583975,3392829,-104.12300000000,30.66520000000
D89,67.00000000000,578542,3393419,-104.18000000000,30.67090000000
D173,68.10000000000,587544,3394023,-104.08600000000,30.67570000000
D184,68.10000000000,586326,3392815,-104.09900000000,30.66490000000
D55,68.40000000000,581549,3395224,-104.14900000000,30.68700000000
D169,70.20000000000,585141,3394010,-104.11100000000,30.67580000000
D19,70.60000000000,581542,3392823,-104.14900000000,30.66530000000
D102,71.60000000000,582142,3397020,-104.14200000000,30.70320000000
D224,71.60000000000,587544,3397018,-104.08600000000,30.70280000000
D243,72.20000000000,585142,3399420,-104.11100000000,30.72460000000
D130,72.50000000000,579746,3390422,-104.16800000000,30.64380000000
D17,72.60000000000,582713,3392248,-104.13700000000,30.66010000000
D95,72.60000000000,581543,3397621,-104.14800000000,30.70860000000
D4,72.80000000000,582761,3394015,-104.13600000000,30.67600000000
D168,73.10000000000,584535,3394025,-104.11700000000,30.67600000000
D134,73.30000000000,582140,3390423,-104.14300000000,30.64360000000
D219,73.40000000000,588143,3396417,-104.08000000000,30.69730000000
D58,73.80000000000,583937,3391016,-104.12400000000,30.64890000000
D199,74.20000000000,577935,3388623,-104.18700000000,30.62770000000
D254,74.70000000000,587545,3400017,-104.08600000000,30.72980000000
D226,76.40000000000,585143,3397624,-104.11100000000,30.70840000000
D16,76.50000000000,582713,3391641,-104.13700000000,30.65460000000
D192,77.00000000000,587538,3392226,-104.08600000000,30.65950000000
D79,77.60000000000,581540,3396412,-104.14900000000,30.69770000000
D267,78.10000000000,588738,3401224,-104.07300000000,30.74060000000
D151,78.60000000000,579740,3394618,-104.16700000000,30.68170000000
D14,78.80000000000,581541,3392222,-104.14900000000,30.65990000000
D76,80.50000000000,580940,3389237,-104.15500000000,30.63300000000
D172,80.80000000000,586941,3394023,-104.09200000000,30.67580000000
D30,80.90000000000,583361,3392836,-104.13000000000,30.66530000000
D230,81.20000000000,587542,3397622,-104.08600000000,30.70820000000
D45,83.00000000000,583945,3395822,-104.12400000000,30.69220000000
D251,83.20000000000,585742,3400025,-104.10400000000,30.73000000000
D256,83.50000000000,586940,3400632,-104.09200000000,30.73540000000
D91,84.50000000000,577941,3392824,-104.18600000000,30.66560000000
D36,84.70000000000,583337,3394618,-104.13000000000,30.68140000000
D49,85.90000000000,581559,3393421,-104.14900000000,30.67070000000
D110,86.40000000000,579139,3395824,-104.17400000000,30.69260000000
D109,87.00000000000,580338,3396420,-104.16100000000,30.69790000000
D54,87.60000000000,581550,3394627,-104.14900000000,30.68160000000
D193,88.10000000000,585140,3391624,-104.11100000000,30.65430000000
D190,89.30000000000,586336,3392222,-104.09900000000,30.65960000000
D248,92.30000000000,587542,3396421,-104.08600000000,30.69740000000
D51,92.30000000000,580938,3392836,-104.15500000000,30.66550000000
D142,93.10000000000,582747,3389814,-104.13600000000,30.63810000000
D247,93.10000000000,587536,3399427,-104.08600000000,30.72450000000
D126,94.80000000000,579139,3391022,-104.17400000000,30.64930000000
D238,95.10000000000,585142,3398823,-104.11100000000,30.71920000000
D258,96.40000000000,588138,3400622,-104.07900000000,30.73520000000
D129,96.80000000000,579148,3390425,-104.17400000000,30.64390000000
D195,97.30000000000,577940,3389215,-104.18700000000,30.63300000000
D123,99.30000000000,578542,3391620,-104.18000000000,30.65470000000
D60,100.60000000000,585140,3395814,-104.11100000000,30.69210000000
D268,103.90000000000,589338,3401225,-104.06700000000,30.74060000000
D25,104.30000000000,583964,3391622,-104.12400000000,30.65430000000
D255,104.70000000000,586331,3400626,-104.09800000000,30.73540000000
D10,105.50000000000,582155,3391012,-104.14300000000,30.64900000000
D119,110.70000000000,580341,3393416,-104.16100000000,30.67080000000
D182,110.80000000000,585142,3392830,-104.11100000000,30.66520000000
D27,111.50000000000,582753,3391000,-104.13600000000,30.64880000000
D52,113.60000000000,579745,3392220,-104.16800000000,30.66000000000
D28,113.70000000000,582132,3391590,-104.14300000000,30.65420000000
D155,114.60000000000,579139,3391617,-104.17400000000,30.65460000000
D7,115.80000000000,580365,3391595,-104.16100000000,30.65430000000
D116,117.40000000000,580943,3394001,-104.15500000000,30.67600000000
D3,120.00000000000,584577,3392829,-104.11700000000,30.66520000000
D239,122.40000000000,585742,3398823,-104.10400000000,30.71920000000
D64,123.80000000000,581542,3389817,-104.14900000000,30.63820000000
D38,125.20000000000,583941,3395228,-104.12400000000,30.68690000000
D189,126.00000000000,585739,3392224,-104.10500000000,30.65960000000
D15,126.10000000000,583310,3391640,-104.13000000000,30.65450000000
D9,126.40000000000,580345,3392258,-104.16100000000,30.66030000000
D156,128.00000000000,584539,3391611,-104.11800000000,30.65420000000
D242,130.50000000000,584537,3399423,-104.11700000000,30.72470000000
D181,132.80000000000,588140,3393421,-104.08000000000,30.67030000000
D237,140.50000000000,584540,3398824,-104.11700000000,30.71930000000
D253,141.40000000000,586945,3400023,-104.09200000000,30.72990000000
D121,144.90000000000,578537,3392228,-104.18000000000,30.66020000000
D150,150.80000000000,580341,3394622,-104.16100000000,30.68170000000
D222,154.20000000000,586335,3397019,-104.09800000000,30.70290000000
D22,154.50000000000,583323,3392247,-104.13000000000,30.66000000000
D117,158.70000000000,581543,3394015,-104.14900000000,30.67610000000
D138,161.80000000000,577955,3389815,-104.18600000000,30.63840000000
D57,168.10000000000,580949,3394614,-104.15500000000,30.68150000000
D131,200.00000000000,580341,3390422,-104.16200000000,30.64380000000
D139,200.00000000000,578544,3389820,-104.18000000000,30.63840000000
D191,200.00000000000,586947,3392220,-104.09200000000,30.65950000000
D26,200.00000000000,583376,3391020,-104.13000000000,30.64890000000
D85,200.00000000000,579132,3392221,-104.17400000000,30.66010000000
